#symbol,announce_date,bonus_stock,transit_stock,dividen,total_share,x_date,registration_date,list_date
600012.sh,20090525,,,2.3,,20090602,20090601,,
600012.sh,20080618,,,2,,20080625,20080624,,
600012.sh,20070620,,,2.5,,20070626,20070625,,
600012.sh,20060712,,,2.8,,20060718,20060717,,
600012.sh,20050711,,,1,,20050715,20050714,,
600012.sh,20040614,,,0.6,,20040618,20040617,,
600012.sh,20030707,,,0.3,,20030711,20030710,,
600015.sh,20090610,,,1.3,,20090616,20090615,,
600015.sh,20080428,,,1.1,,20080506,20080505,,
600015.sh,20070411,,,1.1,,20070417,20070416,,
600015.sh,20060327,,,1.1,,20060331,20060330,,
600015.sh,20050527,,,1,,20050602,20050601,,
600015.sh,20040517,,2,0.1,,20040521,20040520,20040524,
600015.sh,20031029,,,2.23,,20031104,20031103,,
600016.sh,20090520,,,0.8,,20090526,20090525,,
600016.sh,20080331,2,1,0.5,,20080407,20080403,20080408,
600016.sh,20070605,,1.9,,,20070611,20070608,20070612,
600016.sh,20060411,1.5,2.5,0.5,,20060417,20060414,20060418,
600016.sh,20051021,,1.55,,,20051025,20051024,20051026,
600016.sh,20050412,2,,0.7,,20050418,20050415,20050419,
600016.sh,20040413,2,1.5,1.2,,20040419,20040416,20040420,
600016.sh,20030408,2,1,0.6,,20030414,20030411,20030415,
600016.sh,20020613,1.5,,0.7,,20020619,20020618,20100413,
600016.sh,20010524,,3,2,,20010531,20010530,20010531,
600017.sh,20090512,,,0.5,,20090518,20090515,,
600017.sh,20080918,,10,,,20080924,20080923,20080925,
600017.sh,20080516,,,1,,20080522,20080521,,
600017.sh,20070319,,,1.5,,20070323,20070322,,
600018.sh,20090616,,,1.02,,20090622,20090619,,
600018.sh,20080605,,,0.85,,20080612,20080611,,
600018.sh,20070618,,,0.76,,20070622,20070621,,
600018.sh,20060509,,,3.6,,20060515,20060512,,
600018.sh,20050607,,,3,,20050613,20050610,,
600018.sh,20040707,,,1.5,,20040713,20040712,,
600018.sh,20030405,3,7,4,,20030410,20030409,20030411,
600018.sh,20010516,,,3.5,,20010523,20010522,,
600019.sh,20090609,,,1.8,,20090615,20090612,,
600019.sh,20080507,,,3.5,,20080513,20080512,,
600019.sh,20070522,,,3.5,,20070529,20070528,,
600019.sh,20060519,,,3.2,,20060525,20060524,,
600019.sh,20050607,,,3.2,,20050613,20050610,,
600019.sh,20040615,,,2.5,,20040621,20040618,,
600019.sh,20030612,,,2,,20030618,20030617,,
600019.sh,20020613,,,1.25,,20020619,20020618,20100413,
600019.sh,20010605,,,0.5,,20010612,20010611,,
600020.sh,20090608,0.1,,0.5,,20090612,20090611,20090615,
600020.sh,20080630,1.5,,0.2,,20080707,20080704,20080708,
600020.sh,20070629,1.7,,,,20070705,20070704,20070706,
600020.sh,20060626,4,1,1,,20060630,20060629,20060703,
600020.sh,20050721,,,1,,20050727,20050726,,
600020.sh,20040705,,,5,,20040709,20040708,,
600021.sh,20080610,,2,,,20080617,20080616,20080618,
600021.sh,20070516,,,2,,20070522,20070521,,
600021.sh,20060509,,,2,,20060515,20060512,,
600021.sh,20050510,,,2.1,,20050517,20050516,,
600021.sh,20040615,,,0.16,,20040621,20040618,,
600022.sh,20090417,,8,0.5,,20090423,20090422,20090424,
600022.sh,20080418,,,6,,20080424,20080423,,
600022.sh,20070622,1,1,3,,20070628,20070627,20070629,
600022.sh,20060619,1,1,4,,20060623,20060622,20060626,
600022.sh,20050523,,,5,,20050527,20050526,,
600026.sh,20090615,,,3,,20090622,20090619,,
600026.sh,20080618,,,5,,20080625,20080624,,
600026.sh,20070619,,,3,,20070625,20070622,,
600026.sh,20060606,,,3,,20060612,20060609,,
600026.sh,20050615,,,1.5,,20050621,20050620,,
600026.sh,20040615,,,1.5,,20040621,20040618,,
600026.sh,20030612,,,1,,20030618,20030617,,
600027.sh,20080714,,,0.62,,20080718,20080717,,
600027.sh,20070619,,,0.62,,20070626,20070625,,
600027.sh,20060612,,,0.65,,20060619,20060616,,
600027.sh,20050620,,,0.35,,20050624,20050623,,
600028.sh,20090915,,,0.7,,20090922,20090921,,
600028.sh,20090609,,,0.9,,20090615,20090612,,
600028.sh,20080916,,,0.3,,20080922,20080919,,
600028.sh,20080610,,,1.15,,20080616,20080613,,
600028.sh,20070913,,,0.5,,20070919,20070918,,
600028.sh,20070612,,,1.1,,20070618,20070615,,
600028.sh,20060908,,,0.4,,20060914,20060913,,
600028.sh,20060613,,,0.9,,20060619,20060616,,
600028.sh,20050915,,,0.4,,20050921,20050920,,
600028.sh,20050531,,,0.8,,20050606,20050603,,
600028.sh,20040915,,,0.4,,20040921,20040920,,
600028.sh,20040601,,,0.6,,20040607,20040604,,
600028.sh,20030915,,,0.3,,20030922,20030919,,
600028.sh,20030617,,,0.6,,20030623,20030620,,
600028.sh,20020917,,,0.2,,20020923,20020920,,
600028.sh,20020716,,,0.8,,20020722,20020719,20100413,
600029.sh,20080825,,5,,,20080829,20080828,20080901,
600030.sh,20090605,,,5,,20090611,20090610,,
600030.sh,20080418,,10,5,,20080424,20080423,20080425,
600030.sh,20070515,,,2,,20070521,20070518,,
600030.sh,20060627,,,1.2,,20060704,20060703,,
600030.sh,20050711,,,0.5,,20050715,20050714,,
600030.sh,20040603,,,1.1,,20040611,20040610,,
600030.sh,20030822,,,0.037,,20030828,20030827,,
600031.sh,20090622,,,1.8,,20090626,20090625,,
600031.sh,20080704,2,3,0.5,,20080710,20080709,20080711,
600031.sh,20070417,,10,2,,20070423,20070420,20070424,
600031.sh,20050624,,10,2,,20050630,20050629,20050701,
600031.sh,20040427,,,5,,20040511,20040510,,
600033.sh,20090515,,,1.5,,20090521,20090520,,
600033.sh,20080411,,,2.5,,20080417,20080416,,
600033.sh,20070629,,,2.5,,20070705,20070704,,
600033.sh,20060913,,5,,,20060919,20060918,20060920,
600033.sh,20060525,,,3.5,,20060601,20060531,,
600033.sh,20050609,,,3.5,,20050616,20050615,,
600033.sh,20040528,2,,1.5,,20040603,20040602,20040604,
600033.sh,20030430,2,,0.5,,20030430,20030429,20030512,
600033.sh,20020620,,,1.2,,20020627,20020626,20100413,
600035.sh,20090701,,,1.3,,20090707,20090706,,
600035.sh,20080716,,,1.6,,20080722,20080721,,
600035.sh,20070713,,,1.2,,20070719,20070718,,
600035.sh,20061221,,,1.65,,20061225,20061222,20061226,
600035.sh,20060707,,,0.7,,20060713,20060712,,
600035.sh,20050610,,,0.65,,20050616,20050615,,
600036.sh,20090629,3,,1,,20090703,20090702,20090706,
600036.sh,20080722,,,2.8,,20080728,20080725,,
600036.sh,20070628,,,1.2,,20070704,20070703,,
600036.sh,20060915,,,1.8,,20060921,20060920,,
600036.sh,20060612,,,0.8,,20060616,20060615,,
600036.sh,20060222,,0.8589,,,20060224,20060223,20060227,
600036.sh,20050614,,5,1.1,,20050620,20050617,20050621,
600036.sh,20040428,,2,0.92,,20040511,20040510,20040512,
600036.sh,20030708,,,1.2,,20030716,20030715,,
600037.sh,20090612,,,1.5,,20090618,20090617,,
600037.sh,20070427,,6,1,,20070510,20070509,20070511,
600037.sh,20060623,,,3,,20060629,20060628,,
600037.sh,20050926,,6,,,20050930,20050929,20051010,
600037.sh,20050628,,,1.5,,20050704,20050701,,
600037.sh,20041203,,,3,,20041209,20041208,,
600037.sh,20040615,,,1.5,,20040621,20040618,,
600037.sh,20030717,,,1.5,,20030723,20030722,,
600037.sh,20021009,,3,,,20021015,20021014,20021016,
600037.sh,20020702,,,2.5,,20020708,20020705,20100413,
600037.sh,20010703,,,1,,20010710,20010709,,
600038.sh,20090708,,,1,,20090714,20090713,,
