#symbol,announce_date,alloc_stock,alloc_price,total_share,x_date,registration_date,paydate_start,paydate_end,list_date,amount
600089.sh,19980820,3.00,12,8168,19980904,19980903,19980904,19980917,19981013,139675200,
600090.sh,20000315,3.00,8.8,12800,20000302,20000301,20000302,20000315,20000406,138313472,
600091.sh,19991230,3.00,14.23,20240,19991213,19991210,19991213,19991224,20000106,343313000,
600093.sh,20000902,3.00,,,,,,,,,
600095.sh,19990810,3.00,7.2,13000,19990714,19990713,19990714,19990727,19990816,198432000,
600098.sh,20001229,3.00,13,119880,20001211,20001208,20001211,20001225,20010105,702000000,
600099.sh,19990928,1.88,6,16960,19990902,19990901,19990902,19990915,19990930,78000000,
600100.sh,20080530,2.00,16,62861.23,20080526,20080515,20080516,20080522,20080603,1966456256,
600100.sh,19990805,3.00,20,16605,19990709,19990708,19990709,19990722,19990810,475000000,
600101.sh,20010912,3.00,15,14644.39,20010809,20010808,20010809,20010822,20010917,350422605,
600101.sh,19980415,2.00,12.5,12982.87,19990315,19990312,19990315,19990326,19990420,207689250,
600102.sh,20020907,3.00,7.7,87118.2,20020708,20020705,20020708,20020719,20020730,393401408.4,
600102.sh,19991008,3.00,6.25,79470,19990906,19990903,19990906,19990917,19991013,478012500,
600103.sh,20021031,2.50,,70630,,,,,,,
600103.sh,19990910,3.00,4.18,28944,19990804,19990803,19990804,19990817,19990915,266307800,
600104.sh,20010317,3.00,8,140000,20010221,20010220,20010221,20010306,20010321,3360000000,
600105.sh,20020524,3.00,10.5,24961.05,20020426,20020425,20020426,20020516,20020528,236250000,
600105.sh,19991227,1.76,8,22950,19991129,19991126,19991129,19991210,19991229,160883696,
600107.sh,19990327,3.00,,,,,,,,,
600108.sh,19991230,3.00,7.5,27000,19991214,19991213,19991214,19991227,20000105,283500000,
600110.sh,20050329,3.00,,33412.38,,,,,,,
600110.sh,20030624,3.00,,33412.38,,,,,,,
600110.sh,20010911,3.00,15,11564.8,20010810,20010809,20010810,20010823,20010913,182286000,
